season,week,dancer,p_hat,p_min,p_max,uncertainty_width,week_uncertainty,status
1,1,Evander Holyfield,0.16666666666666666,0.0,1.0,1.0,1.0,No Elimination
1,1,Joey McIntyre,0.16666666666666666,0.0,1.0,1.0,1.0,No Elimination
1,1,John O'Hurley,0.16666666666666666,0.0,1.0,1.0,1.0,No Elimination
1,1,Kelly Monaco,0.16666666666666666,0.0,1.0,1.0,1.0,No Elimination
1,1,Rachel Hunter,0.16666666666666666,0.0,1.0,1.0,1.0,No Elimination
1,1,Trista Sutter,0.16666666666666666,0.0,1.0,1.0,1.0,No Elimination
1,2,Evander Holyfield,0.2528876446282833,0.04131231404958676,0.9834810743801653,0.9421687603305785,0.8145267791551882,Relaxed
1,2,Joey McIntyre,0.1949973215893893,0.0,0.9421687603305785,0.9421687603305785,0.8145267791551882,Relaxed
1,2,John O'Hurley,0.15372775494291108,0.0,0.9421687603305785,0.9421687603305785,0.8145267791551882,Relaxed
1,2,Kelly Monaco,0.22810166903815543,0.016518925619834684,0.9586876859504132,0.9421687603305785,0.8145267791551882,Relaxed
1,2,Rachel Hunter,0.17028460940371876,0.0,0.9421687603305785,0.9421687603305785,0.8145267791551882,Relaxed
1,2,Trista Sutter,9.997889458431177e-07,0.0,0.17631687327823692,0.17631687327823692,0.8145267791551882,Relaxed
1,3,Evander Holyfield,9.998346060332982e-07,0.0,0.2773664905660377,0.2773664905660377,0.8554732981132076,Relaxed
1,3,Joey McIntyre,0.2617789628511721,0.0,1.0,1.0,0.8554732981132076,Relaxed
1,3,John O'Hurley,0.24289791596528104,0.0,1.0,1.0,0.8554732981132076,Relaxed
1,3,Kelly Monaco,0.271195991272395,0.0,1.0,1.0,0.8554732981132076,Relaxed
1,3,Rachel Hunter,0.22412612970438922,0.0,1.0,1.0,0.8554732981132076,Relaxed
1,4,Joey McIntyre,0.3586822771097747,0.05433782608695654,0.9565317391304348,0.9021939130434782,0.733712527173913,Relaxed
1,4,John O'Hurley,0.34781267012099953,0.04346826086956524,0.9456621739130434,0.9021939130434782,0.733712527173913,Relaxed
1,4,Kelly Monaco,0.2935040524119328,0.0,0.9021939130434782,0.9021939130434782,0.733712527173913,Relaxed
1,4,Rachel Hunter,9.998657748345948e-07,0.0,0.22826836956521734,0.22826836956521734,0.733712527173913,Relaxed
